ticker,date,epsestimate,epsactual,epssurprisepct,current_close_price,nextday_close_price,current_volume,nextday_volume,etl_date,price_change,zack_rank,w8_ahead,w7_ahead,w6_ahead,w5_ahead,w4_ahead,w3_ahead,w2_ahead,w1_ahead
A,2/16/2021,0.89,1.06,18.57,127.9499969,130.1199951,2132500,4214700,1/9/2022,0.016959736,3,117.86,117.9,120.45,127.24,127.15,122.53,123.2,125.11
A,5/25/2021,0.83,0.97,17.29,133.2299957,133.2899933,1890600,2498400,1/9/2022,0.000450331,3,126.9,130.81,133.04,134.68,134.86,132.53,130.39,131.27
A,8/17/2021,0.99,1.1,10.89,160.9100037,163.0200043,2614200,2860900,1/9/2022,0.013112924,3,146.73,147.78,149.1,148.62,150.05,151.77,154.56,157.87
A,11/22/2021,1.18,1.21,2.98,162.7799988,154.7799988,2110400,3140600,1/9/2022,-0.049146087,3,161.07,154.3,151.09,156.34,156.96,156.46,159.32,161.26
AA,1/20/2021,0.11,0.26,132.14,22.84000015,20.01000023,5578300,22833800,1/9/2022,-0.123905425,3,19.65,21.27,23.23,22.35,22.02,22.72,24.7,24.42
AA,4/15/2021,0.46,0.79,70.63,32.84000015,35.63000107,6132600,17790300,1/9/2022,0.084957397,3,22.92,25.98,29.24,31.32,30.58,30.96,32.2,31.6
AA,7/15/2021,1.37,1.49,8.76,34.54000092,32.95000076,8560200,14579700,1/9/2022,-0.046033587,3,37.16,37.94,38.76,37.32,33.64,36.24,37.16,36.3
AA,10/14/2021,1.8,2.05,13.83,48.59999847,56,9971300,33352600,1/9/2022,0.152263411,3,40,43.08,46.46,49.1,48.07,49.91,48.98,47.76
AADI,3/11/2021,-2.02,-1.5,25.93,1.600000024,1.620000005,866900,1044100,1/9/2022,0.012499988,4,1.21,1.3,1.36,1.62,1.98,1.93,1.76,1.53
AADI,5/17/2021,-1.35,-1.35,0,1.659999967,1.970000029,213028000,29211300,1/9/2022,0.186747029,4,1.65,1.38,1.33,1.24,1.13,1.17,1.1,1.08
AADI,8/11/2021,-6,-1.35,77.5,2.019999981,2.079999924,945500,950700,1/9/2022,0.029702942,4,1.9,1.81,1.71,2.36,2.04,2.13,2.09,2.05
AADI,11/10/2021,-0.66,-9.17,-1283.11,21.68000031,21.77000046,376700,141100,1/9/2022,0.004151298,4,28.6,31.23,29.42,27.02,26.99,27.2,27.38,27.67
AAL,1/28/2021,-4.11,-3.86,6.17,18.10000038,17.17000008,319607600,113054800,1/9/2022,-0.051381231,4,15.13,17.43,16.8,15.92,15.72,15.28,15.96,15.8
AAL,4/22/2021,-4.3,-4.32,-0.35,20.06999969,21.11000061,72635100,47995300,1/9/2022,0.051818681,4,21.36,21.24,23.35,24.29,22.73,24.14,22.93,21.36
AAL,7/22/2021,-1.96,-1.69,13.82,21.15999985,21.20000076,39028300,29379200,1/9/2022,0.001890402,4,24.12,24.79,23.52,22.36,21.91,21.22,20.58,20.09
AAL,10/21/2021,-1.04,-0.99,4.72,19.88999939,19.14999962,29224700,36948200,1/9/2022,-0.037204615,4,19.91,19.6,19.38,20.02,21.37,21.17,20.17,19.82
AAOI,2/25/2021,-0.23,-0.2,13.79,11.17000008,9.324999809,652200,1833000,1/9/2022,-0.165174598,3,8.78,9.57,10.46,10.69,11.42,11.59,12.28,11.75
AAOI,5/6/2021,-0.27,-0.21,21.05,7.21999979,7.579999924,989600,1067100,1/9/2022,0.049861516,3,8.85,8.52,7.98,8.51,8.33,7.79,8.14,7.47
AAOI,8/5/2021,-0.18,-0.15,18.03,7.699999809,7.150000095,485300,1627300,1/9/2022,-0.071428536,3,8.78,8.51,8.7,8.34,7.87,7.42,7.39,7.66
AAOI,11/4/2021,-0.28,-0.2,29.82,8.640000343,5.860000134,1252400,5685500,1/9/2022,-0.321759271,3,7.46,7.16,7.19,7.03,6.92,7.33,7.58,7.79
AAP,2/16/2021,1.97,1.87,-4.98,155.5099945,161.8200073,1932900,1590600,1/9/2022,0.040576253,3,160.09,159.16,159.96,171.7,165.63,154.13,155.35,158.32
AAP,6/2/2021,3.08,3.34,8.3,191.3300018,191.1399994,1605400,918300,1/9/2022,-0.000993061,3,183.19,190.15,197.92,199.79,204.24,203.6,196.54,189.94
AAP,8/24/2021,3.04,3.4,11.73,207.7799988,212.2400055,1473200,1032100,1/9/2022,0.021465044,3,206.34,209.73,208.36,211.16,213.58,209.39,208.76,208.44
AAP,11/15/2021,2.87,3.21,11.77,241.9100037,235.6900024,1085400,1585200,1/9/2022,-0.025712046,3,209.23,214.32,210.67,213.13,226.76,229.37,228.5,233.76
AAPL,1/27/2021,1.41,1.68,18.98,142.0599976,137.0899963,140843800,142621100,1/9/2022,-0.034985227,2,120.52,123.02,125.28,129.88,134.02,129.86,128.91,137.65
AAPL,4/28/2021,0.99,1.4,41.84,133.5800018,133.4799957,107760100,151101000,1/9/2022,-0.000748661,2,122.02,121.17,122.89,121.37,123.26,130.46,133.94,133.6
AAPL,7/27/2021,1.01,1.3,29.1,146.7700043,144.9799957,104818600,118931200,1/9/2022,-0.012196011,2,124.69,126.78,130.09,132.91,136.36,143.41,146.68,146.8
AAPL,10/28/2021,1.24,1.24,0.32,152.5700073,149.8000031,100077900,124850400,1/9/2022,-0.018155628,2,154.48,150.82,145.44,144.85,141.03,142.52,145.74,149.14
ABB,2/4/2021,0.16,0.26,64.56,29.02000046,28.81999969,4598100,1711400,1/9/2022,-0.006891825,4,26.95,27.11,27.44,28.21,29.97,29.99,30.1,30.11
ABB,4/27/2021,0.31,0.33,5.43,33.06000137,33.29000092,1102000,1274300,1/9/2022,0.006957034,4,29.44,30.53,30.96,31.19,30.53,31.53,32.52,32.59
ABB,7/22/2021,0.35,0.38,8.57,36.02000046,36.70000076,1507300,1318700,1/9/2022,0.018878409,4,34.09,34.91,34.66,33.61,34.29,34.41,35.67,35.17
ABB,10/21/2021,0.38,0.4,4.44,32.86000061,33.20999908,3469900,1774000,1/9/2022,0.010651201,4,37.4,37.17,36.74,35.51,34.54,33.04,33.23,34.5
ABBV,2/3/2021,2.85,2.92,2.42,106.9499969,108.5299988,12101900,9077800,1/9/2022,0.014773276,2,107.1,104.98,103.21,105.06,106.56,110.88,110.95,103.64
ABBV,4/30/2021,2.83,2.95,4.28,111.5,114.6800003,10575400,9138200,1/9/2022,0.028520182,2,106.83,107.95,104.39,105.75,106.45,106.99,109.06,111.35
ABBV,7/30/2021,3.09,3.11,0.65,116.3000031,115.4499969,9015500,9245500,1/9/2022,-0.007308737,2,112.68,115.42,114.33,113.2,115.23,117.04,116.63,118.06
ABBV,10/29/2021,3.22,3.33,3.32,114.6699982,114.8099976,16545000,7096800,1/9/2022,0.001220889,2,110.31,107.47,107.04,108.11,109.33,109.63,108.28,108.82
ABC,2/4/2021,1.94,2.18,12.37,111.9199982,109.6900024,1976300,1832500,1/9/2022,-0.019924909,3,100.11,98.41,97.14,96.94,107.65,105.46,106.8,106.51
ABC,5/5/2021,2.48,2.53,2.06,118.8199997,117.6299973,4029400,1650700,1/9/2022,-0.01001517,3,111.17,114.56,116.52,117.62,116.48,119.11,120.42,121.56
ABC,8/4/2021,2.05,2.16,5.37,125.5500031,121.8899994,1708400,1988900,1/9/2022,-0.029151761,3,118.83,117.31,115.92,115.16,114.99,114.16,119.95,122.26
ABC,11/4/2021,2.36,2.39,1.31,126.7799988,127.5699997,974200,762200,1/9/2022,0.006231274,3,123.58,123.23,122.47,119.29,119.35,120.06,122.56,123.09
ABCL,3/29/2021,0.61,0.44,-27.87,23.29000092,26.68000031,1366500,3580200,1/9/2022,0.145556001,3,50.74,47.59,44.44,39.73,35.41,32.08,35.28,28.48
ABCL,5/13/2021,0.38,0.37,-2.12,34.13999939,31.75,1798000,902200,1/9/2022,-0.070005842,3,32.34,26.47,30.81,28.96,29.01,29.8,28.02,28.48
ABCL,8/12/2021,0.08,-0.01,-112.82,15.18999958,17.88999939,1844700,9974700,1/9/2022,0.177748511,3,22.79,20.85,20.56,18.41,16.54,15.77,15.69,15.54
ABCL,11/9/2021,-0.05,-0.08,-50.94,14.71000004,14.14000034,2436700,3332100,1/9/2022,-0.038749129,3,19.4,20.99,18.8,15.78,15.49,16.03,15.87,16.62
ABEO,3/24/2021,-0.1,-0.17,-70,1.779999971,1.879999995,2575100,1980200,1/9/2022,0.05617979,2,2.07,2.44,3.23,2.32,2.44,2.11,2.28,2.15
ABEO,5/17/2021,-0.19,-0.17,9.09,1.360000014,1.559999943,875100,2001400,1/9/2022,0.147058769,2,2,1.85,1.71,1.55,1.54,1.69,1.72,1.38
ABEO,7/28/2021,-0.16,-0.16,3.03,1.279999971,1.24000001,1946100,1481700,1/9/2022,-0.031249971,2,1.75,1.8,1.7,1.67,1.58,1.45,1.3,1.32
ABEO,11/15/2021,-0.16,-0.07,57.06,0.910000026,0.870000005,624700,475400,1/9/2022,-0.043956066,2,1.2,1.14,0.99,0.91,0.9,0.84,0.9,0.96
ABEV,2/25/2021,0.05,0.08,77.78,2.619999886,2.549999952,34126600,38830800,1/9/2022,-0.026717533,3,3.05,3.02,3.09,2.92,2.89,2.89,2.82,2.74
ABEV,5/24/2021,0.03,0.03,-6.45,3.329999924,3.299999952,20971800,23692700,1/9/2022,-0.009009001,3,2.7,2.76,2.8,2.9,2.86,2.88,3.23,3.33
ABEV,7/29/2021,0.02,0.04,63.64,3.329999924,3.170000076,36874200,22481700,1/9/2022,-0.048048003,3,3.83,3.81,3.74,3.55,3.41,3.38,3.3,3.23
ABEV,10/28/2021,0.02,0.04,83.33,2.940000057,2.960000038,52305600,41934400,1/9/2022,0.006802714,3,3.18,3.07,2.94,2.89,2.75,2.73,2.75,2.66
ABMD,1/28/2021,1.13,1.35,19.57,355.1300049,348.25,973900,423300,1/9/2022,-0.019373201,2,268.85,267.37,275.18,301.3,321.41,323.42,329.85,344.58
ABMD,4/29/2021,1.1,1.24,13.14,322.9400024,320.730011,393200,259400,1/9/2022,-0.00684335,2,300.53,303.67,302.2,298.54,318.96,330.12,333.89,346.58
ABMD,8/4/2021,1.05,1.1,4.36,331.2000122,348.8599854,338100,367000,1/9/2022,0.053321173,2,295.99,309.88,318.24,315.99,324.89,314.96,322.78,325.99
ABMD,10/28/2021,0.97,1.03,5.86,343.1400146,332.0400085,510300,327500,1/9/2022,-0.032348329,2,369.79,359.41,351.13,340.81,326.24,337.57,349.05,349.94
ABNB,2/25/2021,-9.16,-10.84,-18.37,182.0599976,206.3500061,11568500,19368600,1/9/2022,0.133417603,3,148.47,147.27,170.39,176.94,190.63,193.94,210.23,196.06
ABNB,5/13/2021,-1.17,-1.95,-66.1,135.75,141.1999969,13005400,20325400,1/9/2022,0.040147307,3,195.33,178.99,188.68,178.82,173.01,175.21,170.96,147.75
ABNB,8/12/2021,-0.47,-0.11,76.84,151.1499939,152.7599945,8794100,16781900,1/9/2022,0.010651675,3,150.29,150.2,150.48,144.72,135.94,140.13,144.64,148.73
ABNB,11/4/2021,0.75,1.22,62.02,178.4499969,201.6199951,9664600,27285400,1/9/2022,0.129840283,3,163.01,166.62,172.36,167.02,171.57,171.11,169.22,171.73
